StndCount,logStndCount,Count,Site,Year,Date.Start,Time.Start,DateTimeStart,Date.End,Time.End,DateTimeEnd
39.28571429,3.670860949,55,KISS,2016,6/8/2016,11:30,6/8/2016 11:30,6/8/2016,18:30,6/8/2016 18:30
15,2.708050201,21,KISS,2016,6/10/2016,11:00,6/10/2016 11:00,6/10/2016,18:00,6/10/2016 18:00
25.51724138,3.239354356,37,KISS,2016,6/12/2016,11:00,6/12/2016 11:00,6/12/2016,18:15,6/12/2016 18:15
177.5,5.178970609,213,KISS,2016,6/14/2016,12:45,6/14/2016 12:45,6/14/2016,18:45,6/14/2016 18:45
24.28571429,3.189888288,34,KISS,2016,6/16/2016,12:50,6/16/2016 12:50,6/16/2016,19:50,6/16/2016 19:50
30.32967033,3.412126452,46,KISS,2016,6/18/2016,11:15,6/18/2016 11:15,6/18/2016,18:50,6/18/2016 18:50
436.25,6.078215474,1047,KISS,2015,7/3/2015,18:00,7/3/2015 18:00,7/4/2015,6:00,7/4/2015 6:00
578.3333333,6.360150404,1388,KISS,2015,7/4/2015,6:00,7/4/2015 6:00,7/4/2015,18:00,7/4/2015 18:00
272.0833333,5.606108392,653,KISS,2015,7/6/2015,19:00,7/6/2015 19:00,7/7/2015,7:00,7/7/2015 7:00
202.5,5.310739887,486,KISS,2015,7/7/2015,7:00,7/7/2015 7:00,7/7/2015,19:00,7/7/2015 19:00
215.5172414,5.373040913,625,KISS,2015,7/9/2015,17:00,7/9/2015 17:00,7/10/2015,7:30,7/10/2015 7:30
23.01136364,3.135988165,405,KISS,2015,7/10/2015,7:30,7/10/2015 7:30,7/13/2015,23:30,7/13/2015 23:30
680,6.522092798,680,KISS,2017,6/18/2017,13:00,6/18/17 13:00,6/18/2017,18:00,6/18/17 18:00
154.6583851,5.041218717,83,KISS,2017,6/20/2017,18:36,6/20/17 18:36,6/20/2017,21:17,6/20/17 21:17
36.39053254,3.594308646,41,KISS,2017,6/21/2017,15:00,6/21/17 15:00,6/21/2017,20:38,6/21/17 20:38
64.13793103,4.161035937,93,KISS,2017,6/22/2017,10:00,6/22/17 10:00,6/22/2017,17:15,6/22/17 17:15
68,4.219507705,102,KISS,2017,6/23/2017,14:00,6/23/17 14:00,6/23/2017,21:30,6/23/17 21:30
145.5,4.980176087,194,KISS,2017,6/24/2017,11:30,6/24/17 11:30,6/24/2017,18:10,6/24/17 18:10
23.33333333,3.149882953,14,KISS,2017,6/26/2017,18:00,6/26/17 18:00,6/26/2017,21:00,6/26/17 21:00
74.21052632,4.306906004,47,KISS,2017,6/28/2017,19:03,6/28/17 19:03,6/28/2017,22:13,6/28/17 22:13
94.14893617,4.544877956,59,KISS,2017,6/29/2017,17:39,6/29/17 17:39,6/29/2017,20:47,6/29/17 20:47
